GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CrossingGuardJoe,com.CrossingGuardJoe.viewer.menu,MenuViewer,0,61,0,4,0,12,0,6,0,4
CrossingGuardJoe,com.CrossingGuardJoe.viewer.menu,CustomizeMenuViewer,64,280,8,18,8,51,6,15,0,8
CrossingGuardJoe,com.CrossingGuardJoe.viewer.menu,GameOverViewer,0,164,0,8,0,23,0,8,0,4
CrossingGuardJoe,com.CrossingGuardJoe.viewer.menu,StatsMenuViewer,0,152,0,4,0,21,0,6,0,4
CrossingGuardJoe,com.CrossingGuardJoe.viewer.menu,PauseMenuViewer,0,62,0,4,0,13,0,6,0,4
CrossingGuardJoe,com.CrossingGuardJoe.viewer.menu,InstructionsMenuViewer,0,499,1,9,0,78,1,15,0,9
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,InstructionsMenu,0,44,0,4,0,16,0,9,0,7
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,PauseMenu,0,114,0,2,0,18,0,13,0,12
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,StatsMenu,0,27,0,0,0,10,0,5,0,5
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,GameOverMenu,0,106,0,2,0,20,0,14,0,13
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,Menu,0,125,0,2,0,17,0,13,0,12
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,Option,0,12,0,0,0,1,0,1,0,1
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,CustomizeMenu,0,869,0,30,0,94,0,43,0,28
CrossingGuardJoe,com.CrossingGuardJoe.model.menu,ColorPaletteMenu,0,65,0,2,0,17,0,10,0,9
CrossingGuardJoe,com.CrossingGuardJoe.viewer.images.defined,LogoImages,3,416,0,0,1,2,1,2,1,2
CrossingGuardJoe,com.CrossingGuardJoe.viewer.images.defined,RoadItemsImages,3,400,0,0,1,2,1,2,1,2
CrossingGuardJoe,com.CrossingGuardJoe.viewer.images.defined,ToolImages,3,1106,0,0,1,14,1,8,1,8
CrossingGuardJoe,com.CrossingGuardJoe.viewer.images.defined,KidImages,3,714,0,0,1,6,1,4,1,4
CrossingGuardJoe,com.CrossingGuardJoe.viewer.images.defined,CarImage,3,424,0,0,1,2,1,2,1,2
